Date,Open,High,Low,Close,% change,Volume,TurnOver
2024-06-23,543.50,563.00,538.00,547.00,0.64,140697.00,77303998.20
2024-06-20,550.00,555.00,542.30,543.50,-1.29,73496.00,40190395.60
2024-06-19,555.00,559.00,550.00,550.60,-0.25,63579.00,35042768.50
2024-06-18,550.00,558.00,550.00,552.00,0.00,75407.00,41717415.70
2024-06-16,560.00,560.00,550.00,552.00,-0.99,145846.00,80668579.40
2024-06-13,579.30,579.30,556.50,557.50,-1.85,116068.00,65139788.20
2024-06-12,569.10,575.00,568.00,568.00,-0.35,74280.00,42344831.60
2024-06-11,575.00,577.00,566.10,570.00,-0.47,85292.00,48550462.30
2024-06-10,570.00,574.00,565.00,572.70,0.70,78249.00,44702930.70
2024-06-09,561.80,570.50,560.20,568.70,1.23,95217.00,54042260.20
2024-06-06,568.00,572.90,561.10,561.80,-1.11,79236.00,44730536.20
2024-06-05,559.40,571.90,559.40,568.10,-0.46,69718.00,39701582.40
2024-06-04,573.00,575.00,570.10,570.70,-0.24,47461.00,27129193.90
2024-06-03,580.00,581.90,571.20,572.10,-1.36,43567.00,25098173.70
2024-06-02,567.10,582.00,567.10,580.00,1.10,78729.00,45557997.60
2024-05-30,578.10,586.00,573.70,573.70,-0.76,74206.00,42820915.20
2024-05-29,588.00,596.00,578.00,578.10,-1.20,76815.00,44912038.90
2024-05-27,572.70,595.80,572.70,585.10,0.14,108222.00,63736396.70
2024-05-26,585.00,598.00,584.00,584.30,-1.85,77941.00,45848989.10
2024-05-22,597.40,597.40,580.00,595.30,1.64,188824.00,111824231.80
2024-05-21,584.00,588.50,575.00,585.70,0.46,97376.00,56705506.90
2024-05-20,581.00,592.00,579.00,583.00,0.15,157780.00,92362596.00
2024-05-19,567.70,585.00,560.00,582.10,4.58,165624.00,95692613.30
2024-05-16,563.00,566.10,556.10,556.60,-1.15,94013.00,52662072.60
2024-05-15,575.50,580.00,563.10,563.10,-1.23,73511.00,41967661.80
2024-05-14,564.00,574.00,563.00,570.10,0.90,59209.00,33577846.90
2024-05-13,567.00,577.90,562.10,565.00,-0.35,63596.00,35971552.10
2024-05-12,571.20,582.00,566.00,567.00,1.25,96004.00,54824684.80
2024-05-09,564.20,569.00,553.00,560.00,-0.36,91251.00,50986568.80
2024-05-08,569.00,578.00,561.00,562.00,-1.23,52470.00,29605261.50
2024-05-07,574.00,581.50,565.00,569.00,-1.06,75130.00,43016704.50
2024-05-06,589.00,597.00,575.10,575.10,-2.94,114105.00,66543274.90
2024-05-05,580.00,596.90,580.00,592.50,1.11,97712.00,57875077.90
2024-05-02,600.00,600.00,585.60,586.00,-0.68,94797.00,55902482.60
2024-04-30,589.00,599.70,585.00,590.00,0.17,104703.00,61898792.90
2024-04-29,606.00,606.00,588.00,589.00,-1.11,49435.00,29279497.50
2024-04-28,593.00,600.00,588.00,595.60,0.61,73813.00,43801633.20
2024-04-25,592.20,596.30,590.70,592.00,-0.02,67940.00,40306680.10
2024-04-24,599.90,600.10,590.00,592.10,-0.49,68856.00,40916667.80
2024-04-22,601.00,607.00,595.00,595.00,-1.00,50314.00,30181364.60
2024-04-21,595.00,607.00,590.00,601.00,0.17,92557.00,55529339.70
2024-04-18,600.00,606.00,597.20,600.00,-0.84,88713.00,53427570.40
2024-04-16,606.00,607.00,598.20,605.10,-0.23,71361.00,43094594.40
2024-04-15,614.00,620.00,606.20,606.50,-1.09,102787.00,63185803.70
2024-04-14,610.20,618.00,606.20,613.20,0.49,121619.00,74492104.50
2024-04-10,623.00,634.00,610.00,610.20,-2.20,202157.00,125488013.20
2024-04-09,596.00,624.90,596.00,623.90,4.68,250900.00,154555923.90
2024-04-07,590.00,598.90,588.00,596.00,0.93,106557.00,63279284.60
2024-04-04,595.00,596.50,590.00,590.50,-0.76,76697.00,45501812.30
2024-04-03,585.00,609.00,585.00,595.00,-0.03,73550.00,43874052.20
2024-04-02,608.70,608.70,595.10,595.20,-0.27,64412.00,38476869.30
2024-04-01,600.00,603.00,596.10,596.80,-0.68,83177.00,49815934.40
2024-03-31,604.00,607.00,598.50,600.90,-0.53,103662.00,62462912.60
2024-03-28,602.00,610.00,601.00,604.10,0.35,65655.00,39682920.30
2024-03-27,608.00,611.70,597.00,602.00,-0.99,117823.00,71047294.90
2024-03-26,606.00,613.40,606.00,608.00,-0.15,104199.00,63531585.40
2024-03-25,607.00,613.80,602.00,608.90,0.40,103522.00,62900981.50
2024-03-21,614.10,618.00,605.00,606.50,-1.24,157312.00,95976407.08
2024-03-20,618.00,627.00,609.00,614.10,-0.63,120125.00,74049420.30
2024-03-19,621.00,629.90,615.00,618.00,-0.48,138176.00,86126806.30
2024-03-18,621.00,630.20,618.00,621.00,0.08,89790.00,55870099.80
2024-03-17,630.00,635.00,619.00,620.50,-1.59,162925.00,101830678.00
2024-03-14,638.60,644.00,628.00,630.50,-1.79,155008.00,98412718.70
2024-03-13,647.70,650.00,631.10,642.00,1.10,319600.00,206338723.10
2024-03-12,632.40,635.50,620.00,635.00,2.42,249989.00,157186727.70
2024-03-10,624.00,630.00,618.00,620.00,-0.64,114706.00,71551639.30
2024-03-07,630.00,634.00,621.00,624.00,-0.14,104209.00,65281969.10
2024-03-06,613.00,631.00,608.10,624.90,1.86,209585.00,130115577.20
2024-03-05,630.00,633.90,610.00,613.50,-1.37,206392.00,128174143.10
2024-03-04,607.50,652.00,607.50,622.00,4.43,46976.00,29975395.50
2024-03-03,605.40,613.00,595.20,595.60,-1.62,138436.00,83016772.50
2024-02-29,615.00,620.00,604.90,605.40,-1.56,131730.00,80335036.40
2024-02-28,609.00,620.00,609.00,615.00,0.82,131080.00,80689282.50
2024-02-27,616.00,620.00,606.00,610.00,-0.97,104494.00,64026939.40
2024-02-26,604.90,616.80,604.90,616.00,1.38,126929.00,77503822.00
2024-02-25,624.00,632.00,607.50,607.60,-2.63,179714.00,110155956.90
2024-02-22,633.20,637.90,617.60,624.00,-1.45,237439.00,148797178.40
2024-02-21,650.00,662.90,633.10,633.20,-2.58,173537.00,111228569.50
2024-02-20,621.00,652.50,620.00,650.00,4.79,493093.00,317370998.70
2024-02-18,655.00,666.00,640.10,645.10,-1.62,632757.00,409000252.30
2024-02-15,670.00,674.00,654.80,655.70,-1.86,345592.00,228576267.10
